,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
4533,FRA,France,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
4534,FRA,France,2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
4535,FRA,France,2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
4536,FRA,France,2020-01-25,3,3,0,0,0.046,0.046,0.0,0.0,,,,,
4537,FRA,France,2020-01-26,3,0,0,0,0.046,0.0,0.0,0.0,,,,,
4538,FRA,France,2020-01-27,3,0,0,0,0.046,0.0,0.0,0.0,,,,,
4539,FRA,France,2020-01-28,3,0,0,0,0.046,0.0,0.0,0.0,,,,,
4540,FRA,France,2020-01-29,4,1,0,0,0.061,0.015,0.0,0.0,,,,,
4541,FRA,France,2020-01-30,5,1,0,0,0.077,0.015,0.0,0.0,,,,,
4542,FRA,France,2020-01-31,6,1,0,0,0.092,0.015,0.0,0.0,,,,,
4543,FRA,France,2020-02-01,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4544,FRA,France,2020-02-02,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4545,FRA,France,2020-02-03,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4546,FRA,France,2020-02-04,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4547,FRA,France,2020-02-05,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4548,FRA,France,2020-02-06,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4549,FRA,France,2020-02-07,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4550,FRA,France,2020-02-08,11,5,0,0,0.16899999999999998,0.077,0.0,0.0,,,,,
4551,FRA,France,2020-02-09,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4552,FRA,France,2020-02-10,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4553,FRA,France,2020-02-11,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4554,FRA,France,2020-02-12,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4555,FRA,France,2020-02-13,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4556,FRA,France,2020-02-14,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4557,FRA,France,2020-02-15,11,0,1,1,0.16899999999999998,0.0,0.015,0.015,,,,,
4558,FRA,France,2020-02-16,11,0,1,0,0.16899999999999998,0.0,0.015,0.0,,,,,
4559,FRA,France,2020-02-17,12,1,1,0,0.184,0.015,0.015,0.0,,,,,
4560,FRA,France,2020-02-18,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4561,FRA,France,2020-02-19,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4562,FRA,France,2020-02-20,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
